GroupHUMAN_GBM_CSC	GroupHUMAN_GBM	GroupHUMAN_HSC	GroupHUMAN_MACROPHAGES	GroupHUMAN_MONOCYTES	GroupHUMAN_GRANULOCYTES	GroupHUMAN_ESC	GroupHUMAN_IPSC	GroupHUMAN_B_CELLS	GroupHUMAN_NEUTROPHILS	GroupHUMAN_T_CELLS	GroupHUMAN_CD4	GroupHUMAN_CD8	GroupHUMAN_NK_CELLS	GroupHUMAN_DENDRITIC_CELLS	GroupHUMAN_DENDRITIC_CELLS_pDC	GroupHUMAN_FIBROBLASTS	GroupHUMAN_ASTROCYTES	GroupHUMAN_OLIGODENDROCYTES	GroupHUMAN_NEURAL_STEM_CELLS	GroupHUMAN_BREAST_CANCER	GroupHUMAN_AML_KASUMI_CELLS	W_1	W_2	W_3	W_4	W_5	W_6	W_7	W_8	W_9	W_10	W_11	W_12	W_13	W_14	W_15	W_16	W_17	W_18	W_19	W_20	W_21	W_22	W_23	W_24	W_25	W_26	W_27	W_28	W_29	W_30	W_31	W_32	W_33	W_34	W_35	W_36	W_37	W_38	W_39	W_40	W_41	W_42	W_43	W_44	W_45	W_46	W_47	W_48	W_49	W_50
SRR4011060	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.372692322274133	-0.142510929714977	-0.259129243227987	-0.0129403875074073	-0.0509360430738879	-0.0785649189772135	0.0220631730924969	-0.140065524649621	-0.232475882117531	0.184815907793702	0.200463258506473	-0.0873933783186293	-0.249850800788516	0.0276298578248739	-0.103709108455225	0.129992949967534	-0.0615375618016629	0.0530016767225635	-0.060204061476131	-0.0756339212330464	-0.0994806668396531	-0.20372041936304	-0.22237975427895	-0.0525938553224567	-0.0650362646013406	0.0227904002612088	-0.0628132568739049	-0.0271399511510443	0.0508465603109964	-0.0514273461306478	0.00195065494883945	0.0191915839796114	-0.0066787584355571	0.000691976609999577	0.0152617032271839	0.0109487016194162	-0.0886991317385522	0.0903048035490127	0.0319744425404497	-0.050418923938002	0.0830459402432055	0.0101253479454133	0.0585416480325598	-0.00537133490103898	-0.00968417784456191	0.0260924704110045	-0.0703965172767224	0.0571404398090526	-0.0211769291900682	0.0533453195150434
SRR2584790	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.327868734323941	-0.102724600153009	-0.246448859400017	0.00983181327182537	-0.0513845792336781	-0.0548713447270943	0.107406968411944	-0.0325945002007266	0.0945164923759187	0.0953224038751701	0.0733699241661936	0.0384277964690646	-0.108434578463447	-0.045542572896097	0.10906779873575	0.285424961014469	-0.0727646792503033	0.0642042336225374	-0.0803462899463446	-0.180792546271774	-0.0344760351805661	-0.247477422462037	-0.230389144404005	-0.0767713047272412	-0.173543228754213	-0.0046319445957483	-0.121472316187059	-0.0374162423535514	0.0851691506597222	-0.10393687451907	-0.0562287580488218	-0.00333298642465382	-0.0236698690561845	0.0429418262387959	-0.0238514072786191	0.0562034805908634	-0.095231509106074	0.127563432509788	-0.00372277763929147	-0.0342321893186448	0.0438576218516621	0.0182583851926859	0.0747867648040749	-0.0804246659280808	-0.160805315663034	0.0333475567967375	-0.0267313101302305	0.031915204011274	-0.0884835179541808	0.0819692417126973
SRR2584792	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.325114596429469	-0.0998669204143072	-0.235939481494719	0.0127577949903937	-0.0388215304896957	-0.0607233942086797	0.104993269891049	-0.031393386952425	0.090863017983929	0.103406882685694	0.0809325584711839	0.0269904688027145	-0.108314559961869	-0.0381583934405067	0.0974688652659412	0.272732175771008	-0.0753237217288022	0.0668906418236387	-0.0775860411578689	-0.18262726664797	-0.0358979623420874	-0.240663484876945	-0.229615277530928	-0.0782266404628406	-0.165896460706639	-0.00796713325091166	-0.118731417568793	-0.0395825768443713	0.0860690042024658	-0.106230741373211	-0.0567754404118948	0.00111206480291413	-0.0248211762748338	0.0432668578576094	-0.0211935605755227	0.0525545124678445	-0.0975966836026166	0.121598530498741	-0.000516818809027101	-0.0355725908023401	0.0525059497886563	0.0222176098294275	0.0658397482361981	-0.086275445229237	-0.15757133724102	0.0288779411416656	-0.0265110223744465	0.0362934938869698	-0.0926090385480441	0.0772534749188016
SRR4011061	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.364026429128694	-0.140750879910938	-0.253170415428912	-0.0186648085854399	-0.0519359369972474	-0.0744639439731613	0.0227813658464939	-0.149448918544124	-0.228928242134921	0.177355721346881	0.193768119692299	-0.0859744337696292	-0.240650825908282	0.0266424725562765	-0.106466370720245	0.131522837990739	-0.0404195398827914	0.0507300855559258	-0.0391026832997371	-0.0714991677587136	-0.110917185816952	-0.1870348040685	-0.226142579031187	-0.0666862985145789	-0.0756649206147195	0.017204777891145	-0.0618265815575571	-0.0217586494941687	0.0394149996932818	-0.0444815619076194	0.0134509312494759	0.0204085880901258	-0.00850723696041385	0.00142202133011884	0.00823598384512642	0.0171824040478586	-0.0945021027760842	0.0980545681419091	0.0419026399580437	-0.051166645669879	0.0792066945349604	0.0170856447862596	0.0727801609643456	-0.00530481085808079	-0.0293150589769531	0.0328005787876409	-0.0650211950754861	0.0455279951530989	-0.036776555263051	0.0695363296185093
SRR4011062	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.365533064856935	-0.142249982025843	-0.255600065274861	-0.0186196901796182	-0.051782257752378	-0.0755684577759915	0.0241947722861395	-0.147512358776308	-0.230375602543449	0.178287008627361	0.193309709672728	-0.088042424022124	-0.242116858397474	0.0251612346559336	-0.10498277669655	0.131446620056536	-0.04018444958291	0.051199478801426	-0.0363917689434972	-0.0711937713154393	-0.109673423869188	-0.191134047299351	-0.225176320991885	-0.0645628174406769	-0.0763815788702198	0.0180767282116985	-0.0602832851430172	-0.0215814456580619	0.0413108820163652	-0.0434575385486146	0.0123177294042501	0.0190534657036737	-0.0120890919195731	-0.000802380733911975	0.00857405071126963	0.0174561967977513	-0.0944597807153364	0.0965051510965938	0.0413293608816282	-0.0528535270745454	0.0791087882378526	0.0185393768496236	0.0706766642556771	-0.00739035970433899	-0.028885898508588	0.0324539431413932	-0.0633249444623297	0.0450800992215487	-0.0397062276188676	0.068716909530406
SRR2188664	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.22997195620313	-0.318471258008476	-0.193418391250689	0.110632188205927	0.0239665093067069	-0.102853347463962	0.0981401075583377	-0.117424991175345	0.079221879111136	0.0532359315859316	0.10484648710125	0.00435338127605285	0.0520707810102897	-0.0107852663659858	-0.0998901371800984	0.099476855183611	0.0438863986761335	0.0509974237597737	-0.0385573368981841	-0.0686046184033366	-0.00782677189150048	-0.145719475480065	-0.198212445080066	-0.0922598240180345	-0.0744722077749317	0.0452520422417167	-0.0556085527957287	-0.0479134264284447	0.0481592812808898	-0.054375666683305	-0.0584425921612817	0.00334601521002869	-0.109002030022464	0.0399781473102849	-0.0361641844826084	-0.0157146211504744	-0.0850409332053743	0.0247843470074638	-0.00835926908051738	-0.0456960429010408	0.0860701325838614	0.0276004503756392	0.0683307788294491	-0.00498400036151841	0.0614839227744375	0.00470344142944749	-0.0451321960959726	0.0299847965009606	0.0345718410752755	0.031027609504454
SRR1609728	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.305282477931166	-0.0939411261968116	-0.129818139593483	0.0293774749527305	-0.0405808809776392	-0.0376520354984566	0.0714167511788795	-0.0846049387170578	0.0329593378470396	0.122742186009882	0.103089428162656	-0.0339406453635351	-0.139347010124879	0.0521605466583539	-0.0435746314982972	0.178850695591931	-0.0622259386761746	0.167135231607803	-0.111324997140052	-0.10377316284081	-0.00439679416465766	-0.267654889649573	-0.189553687504462	-0.18798243890694	0.0467115221534432	-0.0431753369353535	-0.0141079720202109	0.0303656019149631	-0.0180532808998832	-0.0112125919160647	-0.0344452885707402	0.0121340379344655	-0.0929175933392152	0.0177410257036924	-0.0183797530595693	-0.0112116520545038	-0.0176493011035743	0.0685370110379427	0.0016216622752563	-0.04405642483765	0.125709324802396	0.0531320357724686	0.0534798231344981	-0.0781556201645756	0.029285422277998	0.0495556891080386	-0.0360700856025343	0.0541566717226432	-0.020720418725321	0.0192764188979903
SRR1609730	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.330551775456006	-0.0858104823320599	-0.150798804884581	0.0298823322674626	-0.0353415411984178	-0.0229284678008026	0.0796608475788561	-0.0970407576878104	0.0235670619205921	0.134542197855296	0.1112379071729	-0.0488291627928696	-0.161674093738825	0.0351253951185074	-0.00976912386076244	0.236055327306833	-0.107869682911227	0.155407457890272	-0.108671339281861	-0.137009325642678	0.00734813888322949	-0.291391670400307	-0.191544453849697	-0.161971573672043	0.0485557102458386	-0.0352813677338645	-0.0103642947014202	0.00445348834012601	-0.00335862587229939	-0.0294740338563763	-0.032573504155565	0.0173484918105003	-0.0699850402066695	0.023585599426849	-0.0325657930318832	-0.00359217034807099	-0.0766444526637004	0.0686279711709333	0.00817703241170994	-0.0310161519268388	0.0993665822366568	0.00498342975913123	0.0644833205852143	-0.0637595303818896	0.0358370403265895	0.0560844864473972	-0.0310083691442332	0.0626192095032954	-0.0138246071658525	0.0235662537857854
SRR3313625	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.320309911458912	-0.128849144851441	-0.218928451970746	0.0671312288717467	-0.0534840172880148	0.00894777872527383	-0.0177772611689694	-0.0613661896333547	0.00970073849616215	0.127655707568922	0.114786068468597	-0.0502681588669358	-0.103810033042205	0.0136762346636044	0.0488752238836985	0.197331328871686	-0.10828434069538	0.156761740007068	0.021889151854908	-0.17046878768075	0.113651090938126	-0.198558037089162	-0.262316622152127	-0.236896428744836	0.0710121665863121	-0.0549615025722194	0.0422476879958236	-0.0126721188414716	-0.0445479124450723	-0.0364029497936312	-0.0476474460021264	0.023249537639286	-0.171586038734011	0.0136001414793977	-0.00328578292426671	0.010325534964747	-0.0213459058974726	0.0245051533698092	0.0514014786132067	-0.0816019694270265	0.167577006139018	-0.071077688140451	0.0268478727576756	0.0385427546935628	0.105243277917443	-0.0582003315410489	-0.0771104416610618	0.0671013070437006	-0.0541001459374577	0.0617703125218808
SRR3313628	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.332028299893592	-0.12558243339893	-0.220472108678758	0.0718117038454196	-0.0480078205647448	0.0234114364076853	-0.0320797736503881	-0.0588695188808342	0.00269968869861263	0.136827815723432	0.111815344047137	-0.0606948677414953	-0.118624321165608	0.000765692539429182	0.0685202321596477	0.210326554448266	-0.125710652042215	0.156329834830483	0.0301916318884248	-0.187024250549761	0.13060603102569	-0.201427775450491	-0.241448149054764	-0.228273140512741	0.0749848828711653	-0.0551586504890362	0.0390727571660535	-0.0364031131758877	-0.0193347802217148	-0.0491502002726798	-0.0390834978365145	0.0368119187468829	-0.165486878286943	0.0215731493230906	-0.00943814293340486	0.0229001230030716	-0.0300074960105666	0.0297688328215943	0.0353128167748373	-0.0709845532571267	0.147975297374257	-0.0818801457305841	0.0284482826913914	0.0548420371095474	0.0976555121162216	-0.0593238676634196	-0.0787040010690494	0.0771986155894322	-0.0370612243282768	0.0525114814734963
SRR3313631	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.287524488013055	-0.105756456486341	-0.228250252422252	0.0617864351423219	-0.0398637104110309	-0.011255915345665	-0.0023855479924926	-0.0495125382927493	0.0350641257166194	0.102203971868198	0.0996449425601211	-0.0226849749521451	-0.12643857769146	0.0150542398542174	0.0603438808611797	0.176642605894335	-0.10179935578474	0.128592173753252	0.000848418552263923	-0.145289952620449	0.0643877501024554	-0.202865678578845	-0.243863590758667	-0.177965917664931	0.0559251686793822	-0.0410647890812173	0.00660648151875951	-0.0431432550810078	0.00583941732020486	-0.0588546477489172	-0.0461863301688347	0.0190156791176158	-0.116449350832838	0.0187174157544597	-0.0212624113916204	-0.000720888073904494	-0.0573820280182582	0.0449774709099158	0.0444529044662256	-0.0825613829450376	0.144875485743291	-0.0422553741657944	0.0123873951876237	0.0541754923141607	0.0782695176995945	-0.0472797612502728	-0.0724139807804469	0.0653172131559232	-0.0439013864813065	0.0629011115062851
