sample	group
SRR3931126	HUMAN_BREAST_CANCER
SRR3931128	HUMAN_BREAST_CANCER
SRR2959516	HUMAN_BREAST_CANCER
SRR2759114	HUMAN_BREAST_CANCER
SRR2759115	HUMAN_BREAST_CANCER
SRR2759116	HUMAN_BREAST_CANCER
SRR2759117	HUMAN_BREAST_CANCER
SRR2759118	HUMAN_BREAST_CANCER
SRR2759119	HUMAN_BREAST_CANCER
SRR2759120	HUMAN_BREAST_CANCER
SRR2759121	HUMAN_BREAST_CANCER
SRR2759122	HUMAN_BREAST_CANCER
SRR2759123	HUMAN_BREAST_CANCER
SRR2759124	HUMAN_BREAST_CANCER
SRR2759126	HUMAN_BREAST_CANCER
SRR2759127	HUMAN_BREAST_CANCER
SRR2759128	HUMAN_BREAST_CANCER
SRR2759129	HUMAN_BREAST_CANCER
SRR3082413	HUMAN_BREAST_CANCER
SRR3082414	HUMAN_BREAST_CANCER
SRR3418815	HUMAN_BREAST_CANCER
SRR3418919	HUMAN_BREAST_CANCER
SRR3418990	HUMAN_BREAST_CANCER
SRR3392354	HUMAN_BREAST_CANCER
SRR3392356	HUMAN_BREAST_CANCER
SRR3392358	HUMAN_BREAST_CANCER
SRR3392360	HUMAN_BREAST_CANCER
SRR3392362	HUMAN_BREAST_CANCER
SRR3188079	HUMAN_BREAST_CANCER
SRR3188080	HUMAN_BREAST_CANCER
SRR3188081	HUMAN_BREAST_CANCER
SRR3350923	HUMAN_BREAST_CANCER
SRR3350925	HUMAN_BREAST_CANCER
SRR3350927	HUMAN_BREAST_CANCER
SRR2927546	HUMAN_BREAST_CANCER
SRR2927547	HUMAN_BREAST_CANCER
SRR3182145	HUMAN_BREAST_CANCER
SRR3182155	HUMAN_BREAST_CANCER
SRR3182165	HUMAN_BREAST_CANCER
SRR3986921	HUMAN_BREAST_CANCER
SRR3986933	HUMAN_BREAST_CANCER
SRR3986945	HUMAN_BREAST_CANCER
SRR2218135	HUMAN_BREAST_CANCER
SRR2218136	HUMAN_BREAST_CANCER
SRR3073499	HUMAN_BREAST_CANCER
SRR3073500	HUMAN_BREAST_CANCER
SRR3073501	HUMAN_BREAST_CANCER
SRR3089084	HUMAN_BREAST_CANCER
SRR3089085	HUMAN_BREAST_CANCER
SRR3089086	HUMAN_BREAST_CANCER
SRR3089087	HUMAN_BREAST_CANCER
SRR3583291	HUMAN_BREAST_CANCER
SRR3583293	HUMAN_BREAST_CANCER
SRR2651086	HUMAN_BREAST_CANCER
SRR2651087	HUMAN_BREAST_CANCER
SRR3189432	HUMAN_BREAST_CANCER
SRR3189433	HUMAN_BREAST_CANCER
SRR8439938	HUMAN_AML_KASUMI_CELLS
SRR8439939	HUMAN_AML_KASUMI_CELLS
SRR8439940	HUMAN_AML_KASUMI_CELLS
SRR5938372	HUMAN_AML_KASUMI_CELLS
SRR5938376	HUMAN_AML_KASUMI_CELLS
SRR6260992	HUMAN_AML_KASUMI_CELLS
SRR6260993	HUMAN_AML_KASUMI_CELLS
SRR6260994	HUMAN_AML_KASUMI_CELLS
SRR2145735	HUMAN_AML_KASUMI_CELLS
SRR2145736	HUMAN_AML_KASUMI_CELLS
SRR2145737	HUMAN_AML_KASUMI_CELLS
SRR2145738	HUMAN_AML_KASUMI_CELLS
SRR2145751	HUMAN_AML_KASUMI_CELLS
SRR2145753	HUMAN_AML_KASUMI_CELLS
SRR2145754	HUMAN_AML_KASUMI_CELLS
SRR2145752	HUMAN_AML_KASUMI_CELLS
SRR2145819	HUMAN_AML_KASUMI_CELLS
SRR2145820	HUMAN_AML_KASUMI_CELLS
SRR2145821	HUMAN_AML_KASUMI_CELLS
SRR2145831	HUMAN_AML_KASUMI_CELLS
SRR2145832	HUMAN_AML_KASUMI_CELLS
SRR2145833	HUMAN_AML_KASUMI_CELLS
